category,Region,price,rating,Income,review_count
American,NE,1,4.5,58269.0,47
American,NE,1,5.0,46271.0,28
American,NE,1,5.0,46969.0,5
American,NE,1,5.0,58269.0,3
American,NE,1,5.0,84233.0,10
American,NE,2,1.5,84233.0,34
American,NE,2,2.0,46271.0,66
American,NE,2,2.0,55762.0,22
American,NE,2,2.0,58269.0,68
American,NE,2,2.0,59887.0,55
American,NE,2,2.0,84233.0,109
American,NE,2,2.5,46271.0,195
American,NE,2,2.5,53040.0,339
American,NE,2,2.5,55762.0,149
American,NE,2,2.5,58269.0,171
American,NE,2,2.5,59887.0,205
American,NE,2,2.5,81198.0,83
American,NE,2,2.5,84233.0,272
American,NE,2,3.0,46271.0,135
American,NE,2,3.0,46969.0,7
American,NE,2,3.0,52564.0,8
American,NE,2,3.0,53040.0,2694
American,NE,2,3.0,55762.0,463
American,NE,2,3.0,58269.0,425
American,NE,2,3.0,59887.0,396
American,NE,2,3.0,81198.0,172
American,NE,2,3.0,84233.0,1023
American,NE,2,3.5,42993.0,103
American,NE,2,3.5,46271.0,411
American,NE,2,3.5,52564.0,8
American,NE,2,3.5,53040.0,8251
American,NE,2,3.5,55762.0,1121
American,NE,2,3.5,58269.0,1029
American,NE,2,3.5,59887.0,334
American,NE,2,3.5,81198.0,264
American,NE,2,3.5,84233.0,734
American,NE,2,4.0,42993.0,15
American,NE,2,4.0,46271.0,797
American,NE,2,4.0,46969.0,14
American,NE,2,4.0,52564.0,8
American,NE,2,4.0,53040.0,7131
American,NE,2,4.0,55762.0,1944
American,NE,2,4.0,58269.0,236
American,NE,2,4.0,59887.0,160
American,NE,2,4.0,81198.0,298
American,NE,2,4.0,84233.0,666
American,NE,2,4.5,46271.0,290
American,NE,2,4.5,52564.0,22
American,NE,2,4.5,53040.0,2425
American,NE,2,4.5,55762.0,812
American,NE,2,4.5,58269.0,347
American,NE,2,4.5,81198.0,185
American,NE,2,4.5,84233.0,137
American,NE,2,5.0,46271.0,5
American,NE,2,5.0,46969.0,6
American,NE,2,5.0,52564.0,1
American,NE,2,5.0,59887.0,18
American,NE,2,5.0,81198.0,20
American,NE,3,1.0,58269.0,3
American,NE,3,3.0,42993.0,41
American,NE,3,3.0,53040.0,165
American,NE,3,3.0,55762.0,8
American,NE,3,3.0,81198.0,27
American,NE,3,3.0,84233.0,139
American,NE,3,3.5,46271.0,30
American,NE,3,3.5,46969.0,10
American,NE,3,3.5,53040.0,349
American,NE,3,3.5,55762.0,127
American,NE,3,3.5,58269.0,79
American,NE,3,3.5,81198.0,81
American,NE,3,4.0,46271.0,15
American,NE,3,4.0,53040.0,1552
American,NE,3,4.0,58269.0,75
American,NE,3,4.0,81198.0,49
American,NE,3,4.0,84233.0,168
American,NE,3,4.5,46271.0,109
American,NE,3,4.5,53040.0,1497
American,NE,3,4.5,55762.0,164
American,NE,3,4.5,58269.0,121
American,NE,3,4.5,81198.0,33
American,NE,3,4.5,84233.0,171
American,NE,4,3.0,53040.0,44
American,NE,4,3.5,53040.0,90
American,NE,4,4.0,55762.0,31
American,NE,4,4.5,53040.0,20
American,SE,1,1.5,43162.0,14
American,SE,1,1.5,50876.0,12
American,SE,1,1.5,54720.0,2
American,SE,1,1.5,60289.0,12
American,SE,1,2.0,43162.0,14
American,SE,1,2.0,48537.0,22
American,SE,1,2.0,54720.0,8
American,SE,1,2.0,60289.0,56
American,SE,1,2.5,44376.0,48
American,SE,1,2.5,48537.0,87
American,SE,1,2.5,54720.0,6
American,SE,1,2.5,56854.0,171
American,SE,1,2.5,58801.0,25
American,SE,1,2.5,60289.0,255
American,SE,1,3.0,43162.0,24
American,SE,1,3.0,44376.0,5
American,SE,1,3.0,48537.0,113
American,SE,1,3.0,54720.0,2
American,SE,1,3.0,56854.0,286
American,SE,1,3.0,58801.0,6
American,SE,1,3.0,60289.0,284
American,SE,1,3.5,43162.0,7
American,SE,1,3.5,44376.0,3
American,SE,1,3.5,48537.0,315
American,SE,1,3.5,50876.0,23
American,SE,1,3.5,54720.0,84
American,SE,1,3.5,56854.0,1150
American,SE,1,3.5,58801.0,38
American,SE,1,3.5,60289.0,532
American,SE,1,4.0,38575.0,15
American,SE,1,4.0,43162.0,158
American,SE,1,4.0,44376.0,69
American,SE,1,4.0,48537.0,259
American,SE,1,4.0,50876.0,40
American,SE,1,4.0,51968.0,63
American,SE,1,4.0,54720.0,42
American,SE,1,4.0,56854.0,2868
American,SE,1,4.0,60289.0,335
American,SE,1,4.5,43162.0,27
American,SE,1,4.5,44376.0,282
American,SE,1,4.5,48537.0,393
American,SE,1,4.5,50876.0,13
American,SE,1,4.5,51968.0,8
American,SE,1,4.5,54720.0,11
American,SE,1,4.5,56854.0,350
American,SE,1,4.5,60289.0,94
American,SE,1,5.0,40976.0,8
American,SE,1,5.0,44376.0,4
American,SE,1,5.0,50876.0,5
American,SE,1,5.0,51968.0,1
American,SE,1,5.0,54720.0,21
American,SE,1,5.0,60289.0,6
American,SE,2,1.0,43162.0,1
American,SE,2,1.0,48537.0,1
American,SE,2,1.5,60289.0,69
American,SE,2,2.0,43162.0,16
American,SE,2,2.0,44376.0,54
American,SE,2,2.0,48537.0,125
American,SE,2,2.0,50876.0,29
American,SE,2,2.0,51968.0,13
American,SE,2,2.0,54720.0,33
American,SE,2,2.0,56854.0,253
American,SE,2,2.0,58801.0,53
American,SE,2,2.0,60289.0,355
American,SE,2,2.5,43162.0,91
American,SE,2,2.5,44376.0,119
American,SE,2,2.5,48537.0,349
American,SE,2,2.5,51968.0,56
American,SE,2,2.5,54720.0,20
American,SE,2,2.5,56854.0,1325
American,SE,2,2.5,58801.0,29
American,SE,2,2.5,60289.0,893
American,SE,2,3.0,43162.0,159
American,SE,2,3.0,44376.0,109
American,SE,2,3.0,48537.0,1294
American,SE,2,3.0,50876.0,34
American,SE,2,3.0,51968.0,22
American,SE,2,3.0,56854.0,3369
American,SE,2,3.0,60289.0,1952
American,SE,2,3.5,43162.0,67
American,SE,2,3.5,44376.0,479
American,SE,2,3.5,48537.0,2335
American,SE,2,3.5,50876.0,160
American,SE,2,3.5,51968.0,398
American,SE,2,3.5,54720.0,106
American,SE,2,3.5,56854.0,4904
American,SE,2,3.5,58801.0,244
American,SE,2,3.5,60289.0,1189
American,SE,2,4.0,43162.0,4
American,SE,2,4.0,44376.0,328
American,SE,2,4.0,48537.0,3228
American,SE,2,4.0,51968.0,1156
American,SE,2,4.0,54720.0,152
American,SE,2,4.0,56854.0,7391
American,SE,2,4.0,58801.0,99
American,SE,2,4.0,60289.0,2738
American,SE,2,4.5,43162.0,112
American,SE,2,4.5,44376.0,76
American,SE,2,4.5,48537.0,1331
American,SE,2,4.5,56854.0,3453
American,SE,2,4.5,58801.0,158
American,SE,2,4.5,60289.0,278
American,SE,2,5.0,43162.0,38
American,SE,2,5.0,44376.0,3
American,SE,2,5.0,48537.0,13
American,SE,2,5.0,58801.0,13
American,SE,2,5.0,60289.0,10
American,SE,3,2.0,51968.0,15
American,SE,3,3.0,56854.0,569
American,SE,3,3.5,48537.0,377
American,SE,3,3.5,56854.0,130
American,SE,3,3.5,60289.0,200
American,SE,3,4.0,44376.0,75
American,SE,3,4.0,48537.0,91
American,SE,3,4.0,56854.0,501
American,SE,3,4.0,60289.0,197
American,SE,3,4.5,44376.0,73
American,SE,3,4.5,48537.0,19
American,SE,3,4.5,54720.0,29
American,SE,3,4.5,56854.0,343
American,SE,3,5.0,48537.0,4
American,SE,4,2.5,48537.0,25
American,SE,4,4.0,56854.0,177
American,SE,4,5.0,56854.0,4
American,SW,1,2.0,50234.0,37
American,SW,1,2.0,62180.0,38
American,SW,1,2.5,46162.0,50
American,SW,1,2.5,50234.0,59
American,SW,1,2.5,58982.0,34
American,SW,1,2.5,62180.0,64
American,SW,1,2.5,89152.0,21
American,SW,1,3.0,41327.0,13
American,SW,1,3.0,46162.0,34
American,SW,1,3.0,50234.0,296
American,SW,1,3.0,61451.0,497
American,SW,1,3.0,62180.0,102
American,SW,1,3.0,89152.0,67
American,SW,1,3.5,41327.0,34
American,SW,1,3.5,46162.0,66
American,SW,1,3.5,61451.0,4709
American,SW,1,3.5,62180.0,447
American,SW,1,3.5,89152.0,25
American,SW,1,4.0,41327.0,71
American,SW,1,4.0,46162.0,19
American,SW,1,4.0,50234.0,657
American,SW,1,4.0,61451.0,3568
American,SW,1,4.0,62180.0,335
American,SW,1,4.0,89152.0,90
American,SW,1,4.5,41327.0,11
American,SW,1,4.5,46162.0,15
American,SW,1,4.5,48729.0,19
American,SW,1,4.5,50234.0,527
American,SW,1,4.5,58982.0,20
American,SW,1,4.5,61451.0,489
American,SW,1,4.5,62180.0,47
American,SW,2,2.0,50234.0,495
American,SW,2,2.0,62180.0,25
American,SW,2,2.0,89152.0,40
American,SW,2,2.5,41327.0,31
American,SW,2,2.5,46162.0,81
American,SW,2,2.5,50234.0,1040
American,SW,2,2.5,61451.0,502
American,SW,2,2.5,62180.0,45
American,SW,2,2.5,89152.0,182
