,name,zipcode,county_string,rating,review_count,category,price,region
117,Hot Taco,28203,"Mecklenburg County, North Carolina",2.5,346,Mexican,$$,region
118,Bonterra Restaurant & Wine Room,28203,"Mecklenburg County, North Carolina",3.5,130,American (New),$$$,region
119,Tijuana Flats,28262,"Mecklenburg County, North Carolina",4.0,61,Mexican,$,region
120,Libations Kitchen & Bar,28202,"Mecklenburg County, North Carolina",4.5,44,American (New),$$,region
121,LittleSpoon,28209,"Mecklenburg County, North Carolina",3.5,247,American (New),$$,region
122,Ho Ho Cherry House,28204,"Mecklenburg County, North Carolina",3.0,116,Chinese,$,region
123,SouthBound,28203,"Mecklenburg County, North Carolina",3.5,259,Mexican,$$,region
124,Green's Lunch,28202,"Mecklenburg County, North Carolina",3.5,63,American (Traditional),$,region
125,Tavern On The Tracks,28203,"Mecklenburg County, North Carolina",3.0,164,American (Traditional),$$,region
126,Blackfinn Ameripub,28202,"Mecklenburg County, North Carolina",3.0,104,American (New),$$,region
127,Fidelli Kitchen,28203,"Mecklenburg County, North Carolina",3.5,76,Italian,$,region
128,Taipei Express,28207,"Mecklenburg County, North Carolina",4.0,73,Chinese,$,region
129,Namastay Kitchen and Hangout,28211,"Mecklenburg County, North Carolina",4.0,92,American (New),$$,region
130,Amalfi's Pasta 'n' Pizza,28213,"Mecklenburg County, North Carolina",4.0,68,Italian,$$,region
131,Cedar Street Tavern,28202,"Mecklenburg County, North Carolina",3.5,62,American (Traditional),$$,region
132,Tony's Pizza,28078,"Mecklenburg County, North Carolina",4.5,107,Italian,$,region
133,Azteca Mexican Restaurant,28269,"Mecklenburg County, North Carolina",3.5,141,Mexican,$$,region
134,The Roasting Company,28205,"Mecklenburg County, North Carolina",3.5,42,American (Traditional),$$,region
135,Wet Willie's,28206,"Mecklenburg County, North Carolina",3.0,79,American (Traditional),$$,region
136,All American Pub,28203,"Mecklenburg County, North Carolina",3.0,161,American (New),$$,region
137,Don Pedro Mexican Restaurant,28213,"Mecklenburg County, North Carolina",3.5,101,Mexican,$$,region
138,Ciro's Italian Restaurant,28262,"Mecklenburg County, North Carolina",4.0,75,Italian,$$,region
139,Stockyard Restaurant,28216,"Mecklenburg County, North Carolina",4.5,36,American (Traditional),$,region
140,Tacos El Nevado,28205,"Mecklenburg County, North Carolina",4.0,31,Mexican,$,region
141,Ed's Tavern,28203,"Mecklenburg County, North Carolina",3.5,111,American (Traditional),$$,region
142,French Quarter,28202,"Mecklenburg County, North Carolina",3.5,88,American (Traditional),$$,region
143,Cheddar's Scratch Kitchen,28262,"Mecklenburg County, North Carolina",3.0,194,American (Traditional),$$,region
144,Red Rocks Cafe,28211,"Mecklenburg County, North Carolina",4.0,137,American (Traditional),$$,region
145,Old Pineville Premium Pub,28217,"Mecklenburg County, North Carolina",4.5,60,American (Traditional),$$,region
146,Chipotle Mexican Grill,28203,"Mecklenburg County, North Carolina",3.5,102,Mexican,$,region
147,La Unica,28204,"Mecklenburg County, North Carolina",3.5,86,Mexican,$,region
148,Comet Grill,28203,"Mecklenburg County, North Carolina",4.0,54,American (Traditional),$,region
149,Whisky River ,28202,"Mecklenburg County, North Carolina",2.5,222,American (Traditional),$$,region
150,China Buffet,28205,"Mecklenburg County, North Carolina",3.5,73,Chinese,$$,region
151,The Packhouse,28202,"Mecklenburg County, North Carolina",3.5,63,American (Traditional),$$,region
152,Moosehead Grill,28209,"Mecklenburg County, North Carolina",4.0,109,American (Traditional),$$,region
153,Vida Vida,28202,"Mecklenburg County, North Carolina",3.0,75,Mexican,$,region
154,The Daily,28202,"Mecklenburg County, North Carolina",4.5,21,American (New),$$,region
155,Zapata's Cantina Mexican Restaurant,28262,"Mecklenburg County, North Carolina",3.0,118,Mexican,$$,region
156,Monterrey Mexican Restaurant,28213,"Mecklenburg County, North Carolina",3.5,76,Mexican,$$,region
157,AQUA e VINO,28211,"Mecklenburg County, North Carolina",4.5,42,Italian,$$$,region
158,The Brass Tap - South End,28203,"Mecklenburg County, North Carolina",3.0,120,American (New),$$,region
159,South 21 Family Restaurant,28213,"Mecklenburg County, North Carolina",4.0,28,American (Traditional),$,region
160,Chuck's Grill,28269,"Mecklenburg County, North Carolina",4.0,49,American (Traditional),$,region
161,P.F. Chang's,28216,"Mecklenburg County, North Carolina",3.0,190,Chinese,$$,region
162,Beijing Chinese Cuisine,28203,"Mecklenburg County, North Carolina",3.5,83,Chinese,$,region
163,JP Charlotte at Westin,28202,"Mecklenburg County, North Carolina",4.0,28,American (Traditional),$$,region
164,Brazwells Premium Pub,28209,"Mecklenburg County, North Carolina",3.5,130,American (New),$$,region
165,House Of Leng At Boardwalk,28262,"Mecklenburg County, North Carolina",3.5,94,Chinese,$$,region
166,Fresh Chef Kitchen,28211,"Mecklenburg County, North Carolina",4.5,34,American (Traditional),$$,region
167,Skyland Family Restaurant,28209,"Mecklenburg County, North Carolina",3.5,102,American (Traditional),$,region
168,Toscana,28211,"Mecklenburg County, North Carolina",3.5,101,Italian,$$$,region
169,Chipotle Mexican Grill,28204,"Mecklenburg County, North Carolina",3.5,56,Mexican,$,region
170,Golden Taipei,28269,"Mecklenburg County, North Carolina",3.5,80,Chinese,$$,region
171,Bar Louie,28262,"Mecklenburg County, North Carolina",3.0,135,American (New),$$,region
172,China Buffet,28262,"Mecklenburg County, North Carolina",3.0,81,Chinese,$$,region
173,Los Arcos,28262,"Mecklenburg County, North Carolina",3.5,65,Mexican,$,region
174,East Coast Wings & Grill,28216,"Mecklenburg County, North Carolina",3.5,127,American (Traditional),$$,region
175,Urban Cookhouse,28209,"Mecklenburg County, North Carolina",4.0,69,American (New),$$,region
176,Tacos El Regio,28227,"Mecklenburg County, North Carolina",4.5,19,Mexican,$,region
177,Clover Joe's,28202,"Mecklenburg County, North Carolina",4.5,23,Italian,$,region
178,The World Famous Open Kitchen,28208,"Mecklenburg County, North Carolina",3.0,111,Italian,$$,region
179,Wild Wing Cafe,28202,"Mecklenburg County, North Carolina",2.5,140,American (Traditional),$$,region
180,LongHorn Steakhouse,28262,"Mecklenburg County, North Carolina",3.5,60,American (Traditional),$$,region
181,Fiesta Maya,28269,"Mecklenburg County, North Carolina",3.5,74,Mexican,$,region
182,Angry Ale's,28209,"Mecklenburg County, North Carolina",3.0,142,American (Traditional),$$,region
183,Tin Roof,28202,"Mecklenburg County, North Carolina",3.0,86,American (Traditional),$,region
184,Oakhurst Grill,28205,"Mecklenburg County, North Carolina",4.5,20,American (Traditional),$,region
185,Antonio's Pizza,28262,"Mecklenburg County, North Carolina",4.5,28,Italian,$,region
186,Gin Mill South End,28203,"Mecklenburg County, North Carolina",3.5,48,American (New),$,region
187,Antojitos Don Sammy,28214,"Mecklenburg County, North Carolina",4.5,21,Mexican,$,region
188,The Local,28202,"Mecklenburg County, North Carolina",3.5,51,American (Traditional),$$,region
189,China Palace,28262,"Mecklenburg County, North Carolina",4.0,70,Chinese,$,region
190,House of Leng,28262,"Mecklenburg County, North Carolina",3.5,89,Chinese,$$,region
191,Salsarita's Fresh Mexican Grill,28202,"Mecklenburg County, North Carolina",3.5,28,Mexican,$,region
192,Bleu Barn Bistro,28217,"Mecklenburg County, North Carolina",4.5,35,American (Traditional),$,region
193,Pei Wei,28262,"Mecklenburg County, North Carolina",3.5,59,Chinese,$,region
194,Bedder Bedder & Moore Montford-Abbey,28209,"Mecklenburg County, North Carolina",4.0,47,American (Traditional),$,region
195,Angeline's,28202,"Mecklenburg County, North Carolina",3.5,56,Italian,$$$,region
196,B Good,28285,"Mecklenburg County, North Carolina",3.5,44,American (Traditional),$$,region
197,US Fried Chicken,28262,"Mecklenburg County, North Carolina",3.5,33,American (Traditional),$,region
198,Lempira Restaurant,28205,"Mecklenburg County, North Carolina",3.5,32,Mexican,$$,region
199,Panda's Den,28215,"Mecklenburg County, North Carolina",4.0,39,Chinese,$,region
200,Libretto's Pizzeria,28209,"Mecklenburg County, North Carolina",3.0,118,Italian,$$,region
201,Carnitas Guanajuato Mexican Restaurant,28212,"Mecklenburg County, North Carolina",4.0,34,Mexican,$,region
202,Bobbee O's BBQ,28269,"Mecklenburg County, North Carolina",3.5,89,American (Traditional),$$,region
203,Dot Dot Dot,28209,"Mecklenburg County, North Carolina",3.5,73,American (New),$$,region
204,Maria's Grill,28262,"Mecklenburg County, North Carolina",3.5,36,American (New),$,region
205,Coastal Kitchen & Bar,28202,"Mecklenburg County, North Carolina",3.5,28,American (New),$$,region
206,Queen Park Social,28217,"Mecklenburg County, North Carolina",3.0,128,American (Traditional),$$,region
207,Whooli's Grill,28227,"Mecklenburg County, North Carolina",4.0,47,American (New),$$,region
208,Maria's Mexican Restaurant,28217,"Mecklenburg County, North Carolina",3.5,76,Mexican,$,region
209,Morazan Restaurant,28205,"Mecklenburg County, North Carolina",3.5,29,Mexican,$$,region
210,Fonda La Taquiza,28205,"Mecklenburg County, North Carolina",4.0,35,Mexican,$,region
211,Zanzibar Cafe,28206,"Mecklenburg County, North Carolina",3.5,9,American (Traditional),$$,region
212,Sabor Latin Street Grill - SouthPark,28211,"Mecklenburg County, North Carolina",4.0,52,Mexican,$,region
213,The Burrito Factory,28262,"Mecklenburg County, North Carolina",4.0,38,Mexican,$,region
214,The Burrito Factory,28262,"Mecklenburg County, North Carolina",4.0,38,American (Traditional),$,region
215,Delicias Restaurante Latino,28212,"Mecklenburg County, North Carolina",4.5,14,Mexican,$,region
216,American Burger - Uptown,28202,"Mecklenburg County, North Carolina",3.0,64,American (Traditional),$$,region
217,La Revolucion,28206,"Mecklenburg County, North Carolina",2.5,47,Mexican,$$,region
218,Merchant & Trade,28202,"Mecklenburg County, North Carolina",3.0,59,American (New),$$,region
219,SoCal Taco Stand,28202,"Mecklenburg County, North Carolina",4.0,17,Mexican,$,region
220,Tacos El Nevado,28209,"Mecklenburg County, North Carolina",4.0,31,Mexican,$,region
221,Nest Restaurant & Lounge,28202,"Mecklenburg County, North Carolina",3.5,21,American (New),$$,region
222,QDOBA Mexican Eats,28262,"Mecklenburg County, North Carolina",4.0,31,Mexican,$,region
223,On The Border Mexican Grill & Cantina,28216,"Mecklenburg County, North Carolina",3.5,67,Mexican,$$,region
224,Farley's Crafted Pizzeria,28262,"Mecklenburg County, North Carolina",3.5,52,Italian,$$,region
225,Cracker Barrel Old Country Store,28208,"Mecklenburg County, North Carolina",3.5,69,American (Traditional),$,region
226,Providence Road Sundries,28207,"Mecklenburg County, North Carolina",3.5,37,American (Traditional),$,region
227,Carolina Family Restaurant,28208,"Mecklenburg County, North Carolina",4.0,31,American (Traditional),$,region
228,Red Robin Gourmet Burgers,28262,"Mecklenburg County, North Carolina",3.0,58,American (Traditional),$$,region
229,1900 Mexican Grill,28209,"Mecklenburg County, North Carolina",3.5,81,Mexican,$$,region
230,Locker Room Sports Bar & Grill,28217,"Mecklenburg County, North Carolina",4.0,31,American (Traditional),$,region
231,Cantina 1511,28202,"Mecklenburg County, North Carolina",3.5,55,Mexican,$$,region
232,The Village,28206,"Mecklenburg County, North Carolina",3.5,10,American (Traditional),$,region
233,FireWater,28262,"Mecklenburg County, North Carolina",2.5,94,American (New),$$,region
234,Ale's University,28262,"Mecklenburg County, North Carolina",3.5,50,American (Traditional),$$,region
235,Romano's Macaroni Grill,28262,"Mecklenburg County, North Carolina",2.5,91,Italian,$$,region
236,MezzaNotte Brick Oven Pizza,28211,"Mecklenburg County, North Carolina",3.5,59,Italian,$$,region
237,Zia Pia Imports,28202,"Mecklenburg County, North Carolina",4.5,9,Italian,$,region
238,Lupitas Carniceria & Tortilleria,28217,"Mecklenburg County, North Carolina",4.5,16,Mexican,$,region
239,Hwy 55 Burgers Shakes & Fries,28269,"Mecklenburg County, North Carolina",3.0,55,American (Traditional),$,region
240,Chex Grill,28208,"Mecklenburg County, North Carolina",4.0,23,American (New),$,region
241,La Espiga,28213,"Mecklenburg County, North Carolina",5.0,4,Mexican,$,region
242,Buffalo Wild Wings,28202,"Mecklenburg County, North Carolina",2.0,148,American (Traditional),$$,region
243,Jocks & Jills Sports Grille,28217,"Mecklenburg County, North Carolina",3.0,122,American (Traditional),$$,region
244,O'Charley's Restaurant & Bar,28213,"Mecklenburg County, North Carolina",3.0,54,American (Traditional),$$,region
245,Moe's Southwest Grill,28202,"Mecklenburg County, North Carolina",3.0,28,Mexican,$,region
246,Great Wok,28202,"Mecklenburg County, North Carolina",2.5,72,Chinese,$,region
247,Gardenia Restaurant,28208,"Mecklenburg County, North Carolina",3.5,24,American (Traditional),$,region
248,Chipotle Mexican Grill,28211,"Mecklenburg County, North Carolina",3.0,57,Mexican,$,region
249,Tacos El Nevado,28209,"Mecklenburg County, North Carolina",4.5,12,Mexican,$,region
250,Chipotle Mexican Grill,28262,"Mecklenburg County, North Carolina",2.5,71,Mexican,$,region
251,Angela's,28227,"Mecklenburg County, North Carolina",3.5,64,Italian,$$,region
252,China Bowl,28205,"Mecklenburg County, North Carolina",3.5,15,Chinese,$,region
253,Moe's Southwest Grill,28203,"Mecklenburg County, North Carolina",3.0,42,Mexican,$,region
254,Park Road Soda Shoppe,28209,"Mecklenburg County, North Carolina",4.0,26,American (Traditional),$,region
255,Hooters,28202,"Mecklenburg County, North Carolina",2.5,79,American (Traditional),$$,region
256,Hickory Tavern,28269,"Mecklenburg County, North Carolina",3.0,81,American (Traditional),$$,region
257,Menus Restaurant,28217,"Mecklenburg County, North Carolina",4.0,23,American (Traditional),$,region
258,Just Fresh Bakery Cafe,28203,"Mecklenburg County, North Carolina",3.0,29,American (Traditional),$,region
259,Sonny's BBQ,28217,"Mecklenburg County, North Carolina",3.0,93,American (New),$$,region
260,Lucky Lou's Tavern,28209,"Mecklenburg County, North Carolina",3.5,46,American (New),$,region
261,China Cafe,28262,"Mecklenburg County, North Carolina",3.0,68,Chinese,$,region
262,Taqueria Express,28227,"Mecklenburg County, North Carolina",3.5,20,Mexican,$,region
263,Fox & Hound,28216,"Mecklenburg County, North Carolina",3.0,92,American (Traditional),$$,region
264,Red Robin Gourmet Burgers,28216,"Mecklenburg County, North Carolina",3.0,73,American (Traditional),$$,region
265,Shun Lee Palace,28211,"Mecklenburg County, North Carolina",3.0,84,Chinese,$$,region
266,Niki's Food Shop,28216,"Mecklenburg County, North Carolina",3.5,13,American (Traditional),$,region
267,Hickory Tavern,28262,"Mecklenburg County, North Carolina",2.5,84,American (Traditional),$$,region
268,QDOBA Mexican Eats,28202,"Mecklenburg County, North Carolina",3.0,22,Mexican,$,region
269,Boston Market,28207,"Mecklenburg County, North Carolina",3.5,18,American (Traditional),$,region
270,Olive Garden Italian Restaurant,28216,"Mecklenburg County, North Carolina",3.0,89,Italian,$$,region
271,Chipotle Mexican Grill,28216,"Mecklenburg County, North Carolina",3.5,23,Mexican,$,region
272,The Charlotte Cafe,28209,"Mecklenburg County, North Carolina",3.0,64,American (Traditional),$$,region
273,Mandarin Chinese Restaurant,28078,"Mecklenburg County, North Carolina",3.5,39,Chinese,$,region
274,Tavolo,28202,"Mecklenburg County, North Carolina",3.5,87,Italian,$$,region
275,Edgewater Bar & Grille,28262,"Mecklenburg County, North Carolina",3.5,15,American (Traditional),$$,region
276,Competition Dining: Fire in the City,28203,"Mecklenburg County, North Carolina",5.0,4,American (New),$$$$,region
277,Lai Lai Express,28209,"Mecklenburg County, North Carolina",3.5,30,Chinese,$,region
278,Hong Kong Restaurant,28205,"Mecklenburg County, North Carolina",2.5,26,Chinese,$,region
279,Chili's,28262,"Mecklenburg County, North Carolina",2.5,54,American (Traditional),$$,region
280,House of Pizza,28205,"Mecklenburg County, North Carolina",3.5,76,Italian,$,region
281,Salsarita's Fresh Mexican Grill,28262,"Mecklenburg County, North Carolina",3.5,23,Mexican,$,region
282,Plato Pronto,28216,"Mecklenburg County, North Carolina",4.5,7,Mexican,$,region
283,Morazán Restaurante,28217,"Mecklenburg County, North Carolina",3.5,31,Mexican,$,region
284,Flo Bar & Lounge,28262,"Mecklenburg County, North Carolina",2.5,32,American (Traditional),$$,region
285,Flo Bar & Lounge,28262,"Mecklenburg County, North Carolina",2.5,32,Mexican,$$,region
286,Waffle House,28217,"Mecklenburg County, North Carolina",3.0,30,American (Traditional),$,region
287,El Tropico,28213,"Mecklenburg County, North Carolina",3.5,3,Mexican,$$,region
288,IHOP,28262,"Mecklenburg County, North Carolina",2.5,44,American (Traditional),$,region
289,QDOBA Mexican Eats,28209,"Mecklenburg County, North Carolina",3.0,25,Mexican,$,region
290,Waffle House,28208,"Mecklenburg County, North Carolina",3.5,30,American (New),$,region
