,name,zipcode,county_string,rating,review_count,category,price
78,Dulce's Antojitos,94565,"Contra Costa County, California",4.0,237,Mexican,$
79,Dos Coyotes Border Cafe,94583,"Contra Costa County, California",3.5,363,Mexican,$$
80,Cocina Medina,94531,"Contra Costa County, California",4.0,336,Mexican,$$
81,Las Panchitas,94565,"Contra Costa County, California",4.0,215,Mexican,$
82,El Grullense Mexican Restaurant,94553,"Contra Costa County, California",4.0,228,Mexican,$
83,Guacamole Authentic Mexican Grill,94518,"Contra Costa County, California",4.0,160,Mexican,$
84,Rancho Cantina,94549,"Contra Costa County, California",3.5,214,Mexican,$$
85,El Nido Mexican Restaurant,94526,"Contra Costa County, California",3.5,227,Mexican,$$
86,El Jarro,94549,"Contra Costa County, California",3.5,218,Mexican,$$
87,Dos Coyotes Border Cafe,94520,"Contra Costa County, California",4.0,333,Mexican,$$
88,La Estrellita Cocina,94583,"Contra Costa County, California",4.0,24,Mexican,$$
89,Taqueria Las Palmas,94521,"Contra Costa County, California",4.0,101,Mexican,$
90,Taqueria La Soledad,94520,"Contra Costa County, California",4.5,144,Mexican,$
91,Meson Azteca Mexican Cuisine,94523,"Contra Costa County, California",4.0,135,Mexican,$
92,Las 3 Marias Restaurant,94509,"Contra Costa County, California",4.0,185,Mexican,$
93,La Primavera Restaurant,94553,"Contra Costa County, California",4.0,184,Mexican,$
94,Taqueria Salsa,94509,"Contra Costa County, California",4.0,231,Mexican,$
95,Tortilleria El Molino,94598,"Contra Costa County, California",3.5,129,Mexican,$
96,New Mecca Cafe,94565,"Contra Costa County, California",3.5,584,Mexican,$$
97,Baja Cali Taqueria & Grill,94563,"Contra Costa County, California",4.0,72,Mexican,$$
98,El Charro Mexican Dining,94549,"Contra Costa County, California",3.0,483,Mexican,$$
99,Sabor Latino 17,94564,"Contra Costa County, California",4.0,120,Mexican,$
100,La Tapatia Mexican Restaurant and Cantina,94520,"Contra Costa County, California",3.5,349,Mexican,$$
101,Hunan Restaurant,94521,"Contra Costa County, California",4.0,270,Chinese,$
102,Sichuan Fortune House,94523,"Contra Costa County, California",4.0,555,Chinese,$$
103,Dragon's Pond,94596,"Contra Costa County, California",4.0,500,Chinese,$$
104,China Palace,94597,"Contra Costa County, California",4.0,304,Chinese,$$
105,Uncle Wang Chinese Restaurant,94565,"Contra Costa County, California",4.5,87,Chinese,$$
106,Ming's,94523,"Contra Costa County, California",4.0,594,Chinese,$$
107,Kung Fu Kitchen,94597,"Contra Costa County, California",4.5,33,Chinese,$$
108,Double Dragon,94509,"Contra Costa County, California",4.0,179,Chinese,$$
109,Lulu's Kitchen,94520,"Contra Costa County, California",4.0,235,Chinese,$$
110,Golden Palace,94556,"Contra Costa County, California",4.5,229,Chinese,$$
111,Dragon's Spring Restaurant,94523,"Contra Costa County, California",4.0,177,Chinese,$$
112,Chef Choy,94523,"Contra Costa County, California",4.0,206,Chinese,$
113,Yan's China Bistro & Bar,94597,"Contra Costa County, California",4.0,311,Chinese,$$
114,Wonderland Restaurant,94526,"Contra Costa County, California",4.0,71,Chinese,$$
115,Mandarin Garden,94520,"Contra Costa County, California",4.0,185,Chinese,$$
