GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
312M300US167403712000,167403712000,"Charlotte city, NC; Charlotte-Concord-Gastonia, NC-SC Metro Area",842029,96
